property_type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,study room,servant room,store room,pooja room,furnishing_type,luxury_category,total_rooms,floor_category,price
0,9,3.0,2.0,2.0,3.0,850.0,0.0,0.0,0.0,0.0,1,1.0,8.0,2.0,0.5
0,6,3.0,2.0,2.0,4.0,1122.0,0.0,0.0,0.0,0.0,1,1.0,7.0,2.0,1.4
0,99,2.0,2.0,3.0,3.0,1631.0,1.0,0.0,0.0,0.0,1,2.0,8.0,2.0,1.0
0,111,3.0,3.0,3.0,3.0,1513.0,0.0,0.0,0.0,0.0,1,1.0,9.0,2.0,1.3
0,97,3.0,3.0,2.0,3.0,1402.0,0.0,0.0,0.0,0.0,1,2.0,8.0,0.0,0.9
1,7,2.0,2.0,0.0,3.0,100.0,0.0,0.0,0.0,0.0,1,1.0,4.0,1.0,0.5
0,95,3.0,3.0,2.0,3.0,1350.0,1.0,1.0,1.0,1.0,2,0.0,12.0,2.0,1.15
0,78,3.0,3.0,2.0,3.0,1419.0,0.0,0.0,0.0,1.0,2,1.0,9.0,0.0,1.36
0,4,2.0,2.0,3.0,3.0,1290.0,0.0,0.0,0.0,0.0,1,2.0,7.0,1.0,1.4
1,62,4.0,4.0,0.0,3.0,1500.0,0.0,0.0,0.0,0.0,1,1.0,8.0,1.0,2.8
1,57,5.0,7.0,3.0,0.0,3240.0,1.0,1.0,0.0,1.0,2,0.0,19.0,2.0,10.45
0,96,2.0,2.0,1.0,3.0,543.0,0.0,0.0,1.0,0.0,2,2.0,6.0,1.0,0.34
0,96,2.0,2.0,0.0,3.0,551.0,0.0,0.0,0.0,0.0,1,1.0,4.0,2.0,0.39
1,47,3.0,4.0,1.0,3.0,990.0,0.0,0.0,0.0,0.0,1,1.0,8.0,1.0,1.1
0,111,2.0,2.0,2.0,1.0,518.0,0.0,0.0,0.0,0.0,1,1.0,6.0,0.0,0.35
0,104,4.0,3.0,3.0,3.0,2110.0,1.0,1.0,1.0,1.0,1,2.0,14.0,2.0,1.75
0,55,3.0,3.0,3.0,0.0,1604.25,0.0,0.0,0.0,1.0,2,2.0,10.0,2.0,2.1
0,54,3.0,3.0,3.0,3.0,1869.0,0.0,0.0,0.0,0.0,2,0.0,10.0,2.0,3.65
0,111,2.0,2.0,3.0,1.0,1175.97,1.0,0.0,0.0,0.0,1,2.0,8.0,2.0,0.95
0,78,3.0,3.0,1.0,3.0,1410.0,0.0,0.0,0.0,1.0,2,2.0,8.0,0.0,1.29
1,86,2.0,2.0,2.0,1.0,745.0,0.0,0.0,0.0,0.0,1,1.0,6.0,0.0,0.75
0,94,3.0,3.0,3.0,3.0,1674.0,0.0,0.0,0.0,0.0,2,1.0,9.0,1.0,1.85
0,88,2.0,2.0,2.0,3.0,1224.0,0.0,0.0,0.0,0.0,1,1.0,6.0,2.0,0.7
0,107,2.0,2.0,1.0,3.0,618.0,0.0,0.0,0.0,1.0,2,2.0,6.0,2.0,0.32
0,2,3.0,3.0,2.0,0.0,2588.0,0.0,0.0,0.0,0.0,1,1.0,8.0,1.0,0.85
0,106,4.0,4.0,3.0,3.0,2105.0,0.0,0.0,0.0,0.0,1,1.0,11.0,0.0,1.25
0,79,2.0,2.0,1.0,3.0,1012.0,0.0,0.0,0.0,0.0,1,2.0,5.0,2.0,0.54
0,82,2.0,2.0,2.0,3.0,1077.0,0.0,0.0,0.0,0.0,1,1.0,7.0,2.0,0.79
1,30,5.0,5.0,3.0,0.0,9500.0,0.0,1.0,0.0,1.0,0,1.0,15.0,2.0,10.0
0,63,3.0,3.0,3.0,0.0,2251.0,0.0,1.0,0.0,0.0,2,2.0,10.0,2.0,1.71
0,14,3.0,3.0,3.0,3.0,1550.0,0.0,0.0,0.0,0.0,2,2.0,9.0,2.0,1.4
0,75,3.0,4.0,3.0,3.0,2490.0,0.0,1.0,0.0,1.0,2,2.0,12.0,0.0,3.65
1,62,3.0,12.0,3.0,3.0,2700.0,1.0,1.0,0.0,1.0,2,1.0,21.0,2.0,7.49
0,9,3.0,2.0,2.0,3.0,750.0,0.0,0.0,0.0,0.0,1,2.0,7.0,2.0,0.6
0,78,3.0,3.0,2.0,3.0,1385.0,0.0,0.0,0.0,1.0,1,0.0,9.0,1.0,1.44
0,17,4.0,4.0,3.0,4.0,2060.0,1.0,0.0,0.0,0.0,1,2.0,12.0,0.0,2.37
0,6,1.0,2.0,2.0,1.0,339.0,0.0,0.0,0.0,0.0,1,2.0,5.0,2.0,0.2
0,39,2.0,2.0,3.0,4.0,1558.0,0.0,0.0,0.0,0.0,1,2.0,7.0,1.0,1.5
0,17,2.0,2.0,0.0,3.0,1310.0,0.0,0.0,0.0,0.0,1,2.0,4.0,2.0,1.83
1,47,3.0,3.0,2.0,2.0,2250.0,0.0,0.0,0.0,0.0,1,1.0,8.0,1.0,3.2
1,64,3.0,12.0,3.0,1.0,1728.0,0.0,1.0,1.0,0.0,2,2.0,20.0,2.0,6.95
0,99,3.0,2.0,2.0,4.0,672.0,0.0,0.0,0.0,0.0,1,1.0,7.0,1.0,0.5
0,49,4.0,4.0,3.0,3.0,2900.0,0.0,0.0,0.0,0.0,1,1.0,11.0,1.0,3.4
0,4,4.0,4.0,3.0,3.0,4630.0,0.0,0.0,0.0,0.0,2,2.0,11.0,0.0,4.55
0,55,3.0,3.0,2.0,2.0,2475.0,0.0,0.0,0.0,0.0,2,2.0,8.0,1.0,1.72
0,69,3.0,3.0,2.0,4.0,1800.0,0.0,0.0,0.0,0.0,1,1.0,8.0,1.0,2.2
0,93,2.0,2.0,3.0,3.0,1020.0,1.0,0.0,0.0,0.0,1,2.0,8.0,1.0,0.63
0,43,3.0,3.0,3.0,3.0,1890.0,0.0,1.0,0.0,0.0,1,2.0,10.0,2.0,1.4
0,80,3.0,3.0,2.0,4.0,1448.0,0.0,0.0,0.0,0.0,1,1.0,8.0,1.0,1.13
1,6,3.0,5.0,3.0,0.0,920.0,0.0,0.0,0.0,0.0,1,2.0,11.0,1.0,1.95
